Given_City,Fetched City,Country,Population (in Millions),Date,Temperature,Humidity,Pressure,Weather Description,Wind Speed,Wind Degree
Bhopal,Bhopal,IN,1.599914,2024-08-06 18:00:00,24.060000000000002,90,1004,light rain,3.32,243
Bhopal,Bhopal,IN,1.599914,2024-08-06 21:00:00,24.07000000000005,90,1003,light rain,3.95,256
Bhopal,Bhopal,IN,1.599914,2024-08-07 00:00:00,23.390000000000043,94,1003,moderate rain,4.3,241
Bhopal,Bhopal,IN,1.599914,2024-08-07 03:00:00,23.860000000000014,94,1005,light rain,4.38,252
Bhopal,Bhopal,IN,1.599914,2024-08-07 06:00:00,24.80000000000001,90,1005,moderate rain,5.14,277
Bhopal,Bhopal,IN,1.599914,2024-08-07 09:00:00,24.420000000000016,91,1003,moderate rain,4.37,285
Bhopal,Bhopal,IN,1.599914,2024-08-07 12:00:00,24.390000000000043,91,1003,light rain,3.94,282
Bhopal,Bhopal,IN,1.599914,2024-08-07 15:00:00,23.870000000000005,92,1004,light rain,3.29,280
Bhopal,Bhopal,IN,1.599914,2024-08-07 18:00:00,23.450000000000045,93,1004,light rain,3.32,290
Bhopal,Bhopal,IN,1.599914,2024-08-07 21:00:00,22.890000000000043,96,1003,moderate rain,4.81,291
Bhopal,Bhopal,IN,1.599914,2024-08-08 00:00:00,22.660000000000025,97,1003,moderate rain,4.65,286
Bhopal,Bhopal,IN,1.599914,2024-08-08 03:00:00,22.960000000000036,95,1006,moderate rain,5.52,294
Bhopal,Bhopal,IN,1.599914,2024-08-08 06:00:00,22.840000000000032,94,1006,light rain,5.78,286
Bhopal,Bhopal,IN,1.599914,2024-08-08 09:00:00,22.08000000000004,96,1005,moderate rain,6.12,276
Bhopal,Bhopal,IN,1.599914,2024-08-08 12:00:00,21.49000000000001,92,1005,moderate rain,5.67,261
Bhopal,Bhopal,IN,1.599914,2024-08-08 15:00:00,21.860000000000014,95,1007,light rain,4.26,263
Bhopal,Bhopal,IN,1.599914,2024-08-08 18:00:00,21.720000000000027,94,1008,light rain,4.22,266
Bhopal,Bhopal,IN,1.599914,2024-08-08 21:00:00,20.700000000000045,93,1006,light rain,4.23,267
Bhopal,Bhopal,IN,1.599914,2024-08-09 00:00:00,21.430000000000007,94,1006,overcast clouds,3.74,254
Bhopal,Bhopal,IN,1.599914,2024-08-09 03:00:00,22.200000000000045,94,1008,overcast clouds,4.4,248
Bhopal,Bhopal,IN,1.599914,2024-08-09 06:00:00,25.170000000000016,81,1008,light rain,6.68,263
Bhopal,Bhopal,IN,1.599914,2024-08-09 09:00:00,23.74000000000001,88,1006,light rain,4.9,263
Bhopal,Bhopal,IN,1.599914,2024-08-09 12:00:00,23.890000000000043,88,1006,overcast clouds,4.73,264
Bhopal,Bhopal,IN,1.599914,2024-08-09 15:00:00,22.49000000000001,94,1007,overcast clouds,3.8,253
Bhopal,Bhopal,IN,1.599914,2024-08-09 18:00:00,22.05000000000001,94,1008,overcast clouds,3.86,244
Bhopal,Bhopal,IN,1.599914,2024-08-09 21:00:00,21.810000000000002,96,1006,overcast clouds,3.77,238
Bhopal,Bhopal,IN,1.599914,2024-08-10 00:00:00,22.400000000000034,94,1007,overcast clouds,4.16,246
Bhopal,Bhopal,IN,1.599914,2024-08-10 03:00:00,22.930000000000007,94,1008,overcast clouds,4.38,248
Bhopal,Bhopal,IN,1.599914,2024-08-10 06:00:00,24.760000000000048,87,1008,light rain,5.08,260
Bhopal,Bhopal,IN,1.599914,2024-08-10 09:00:00,27.04000000000002,76,1005,light rain,5.92,268
Bhopal,Bhopal,IN,1.599914,2024-08-10 12:00:00,25.730000000000018,84,1005,light rain,3.66,253
Bhopal,Bhopal,IN,1.599914,2024-08-10 15:00:00,23.629999999999995,93,1006,moderate rain,3.27,242
Bhopal,Bhopal,IN,1.599914,2024-08-10 18:00:00,23.400000000000034,93,1006,light rain,3.49,247
Bhopal,Bhopal,IN,1.599914,2024-08-10 21:00:00,22.879999999999995,96,1005,overcast clouds,4.23,254
Bhopal,Bhopal,IN,1.599914,2024-08-11 00:00:00,22.760000000000048,96,1005,overcast clouds,4.41,252
Bhopal,Bhopal,IN,1.599914,2024-08-11 03:00:00,24.620000000000005,89,1006,light rain,5.6,257
Bhopal,Bhopal,IN,1.599914,2024-08-11 06:00:00,26.700000000000045,81,1005,light rain,6.18,261
Bhopal,Bhopal,IN,1.599914,2024-08-11 09:00:00,27.150000000000034,80,1003,light rain,5.5,262
Bhopal,Bhopal,IN,1.599914,2024-08-11 12:00:00,26.54000000000002,84,1003,light rain,4.85,265
Bhopal,Bhopal,IN,1.599914,2024-08-11 15:00:00,24.25,91,1005,light rain,3.58,257
